id,category,name,role,description_cs,path_native,path_2x,path_webp,width,height,has_alpha,alpha_bbox,source_board,source_rect,derived_from,state,semantic,text_baked,content_rect,nine_slice,production_status,notes
bar.top.cell.clicks.blank,bars/top/cells,top_cell_clicks_blank,top-cell,Čistá horní buňka clicks bez textu.,assets/native/bars/top/cells/top_cell_clicks_blank.png,assets/2x/bars/top/cells/top_cell_clicks_blank@2x.png,assets/webp/bars/top/cells/top_cell_clicks_blank.webp,149,67,False,"[0, 0, 149, 67]",,,bar.top.cell.generic,,,False,"[10, 8, 129, 51]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.clicks.reference,bars/top/reference,top_cell_clicks_reference,top-cell-reference,Referenční horní buňka clicks.,assets/native/bars/top/reference/top_cell_clicks_reference.png,assets/2x/bars/top/reference/top_cell_clicks_reference@2x.png,assets/webp/bars/top/reference/top_cell_clicks_reference.webp,149,67,False,"[0, 0, 149, 67]",bars,"[863, 99, 1012, 166]",,,,True,,,reference,
bar.top.cell.cpu.blank,bars/top/cells,top_cell_cpu_blank,top-cell,Čistá horní buňka cpu bez textu.,assets/native/bars/top/cells/top_cell_cpu_blank.png,assets/2x/bars/top/cells/top_cell_cpu_blank@2x.png,assets/webp/bars/top/cells/top_cell_cpu_blank.webp,146,67,False,"[0, 0, 146, 67]",,,bar.top.cell.generic,,,False,"[10, 8, 126, 51]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.cpu.reference,bars/top/reference,top_cell_cpu_reference,top-cell-reference,Referenční horní buňka cpu.,assets/native/bars/top/reference/top_cell_cpu_reference.png,assets/2x/bars/top/reference/top_cell_cpu_reference@2x.png,assets/webp/bars/top/reference/top_cell_cpu_reference.webp,146,67,False,"[0, 0, 146, 67]",bars,"[578, 98, 724, 165]",,,,True,,,reference,
bar.top.cell.devotion.blank,bars/top/cells,top_cell_devotion_blank,top-cell,Čistá horní buňka devotion bez textu.,assets/native/bars/top/cells/top_cell_devotion_blank.png,assets/2x/bars/top/cells/top_cell_devotion_blank@2x.png,assets/webp/bars/top/cells/top_cell_devotion_blank.webp,128,66,False,"[0, 0, 128, 66]",,,bar.top.cell.generic,,,False,"[10, 8, 108, 50]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.devotion.reference,bars/top/reference,top_cell_devotion_reference,top-cell-reference,Referenční horní buňka devotion.,assets/native/bars/top/reference/top_cell_devotion_reference.png,assets/2x/bars/top/reference/top_cell_devotion_reference@2x.png,assets/webp/bars/top/reference/top_cell_devotion_reference.webp,128,66,False,"[0, 0, 128, 66]",bars,"[1173, 99, 1301, 165]",,,,True,,,reference,
bar.top.cell.employee_build.blank,bars/top/cells,top_cell_employee_build_blank,top-cell,Čistá horní buňka employee_build bez textu.,assets/native/bars/top/cells/top_cell_employee_build_blank.png,assets/2x/bars/top/cells/top_cell_employee_build_blank@2x.png,assets/webp/bars/top/cells/top_cell_employee_build_blank.webp,198,67,False,"[0, 0, 198, 67]",,,bar.top.cell.generic,,,False,"[10, 8, 178, 51]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.employee_build.reference,bars/top/reference,top_cell_employee_build_reference,top-cell-reference,Referenční horní buňka employee_build.,assets/native/bars/top/reference/top_cell_employee_build_reference.png,assets/2x/bars/top/reference/top_cell_employee_build_reference@2x.png,assets/webp/bars/top/reference/top_cell_employee_build_reference.webp,198,67,False,"[0, 0, 198, 67]",bars,"[238, 98, 436, 165]",,,,True,,,reference,
bar.top.cell.generic,bars/top/cells,top_cell_generic,top-cell,Čistá generická buňka horní lišty.,assets/native/bars/top/cells/top_cell_generic.png,assets/2x/bars/top/cells/top_cell_generic@2x.png,assets/webp/bars/top/cells/top_cell_generic.webp,137,57,False,"[0, 0, 137, 57]",bars,"[334, 236, 471, 293]",,,,False,"[10, 8, 117, 41]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.generic.slice.b,nine_slice,bar_top_cell_generic_b,nine-slice-piece,9-slice díl b pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_b.png,assets/2x/nine_slice/bar_top_cell_generic_b@2x.png,assets/webp/nine_slice/bar_top_cell_generic_b.webp,117,9,False,"[0, 0, 117, 9]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.bl,nine_slice,bar_top_cell_generic_bl,nine-slice-piece,9-slice díl bl pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_bl.png,assets/2x/nine_slice/bar_top_cell_generic_bl@2x.png,assets/webp/nine_slice/bar_top_cell_generic_bl.webp,10,9,False,"[0, 0, 10, 9]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.br,nine_slice,bar_top_cell_generic_br,nine-slice-piece,9-slice díl br pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_br.png,assets/2x/nine_slice/bar_top_cell_generic_br@2x.png,assets/webp/nine_slice/bar_top_cell_generic_br.webp,10,9,False,"[0, 0, 10, 9]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.c,nine_slice,bar_top_cell_generic_c,nine-slice-piece,9-slice díl c pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_c.png,assets/2x/nine_slice/bar_top_cell_generic_c@2x.png,assets/webp/nine_slice/bar_top_cell_generic_c.webp,117,39,False,"[0, 0, 117, 39]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.l,nine_slice,bar_top_cell_generic_l,nine-slice-piece,9-slice díl l pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_l.png,assets/2x/nine_slice/bar_top_cell_generic_l@2x.png,assets/webp/nine_slice/bar_top_cell_generic_l.webp,10,39,False,"[0, 0, 10, 39]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.r,nine_slice,bar_top_cell_generic_r,nine-slice-piece,9-slice díl r pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_r.png,assets/2x/nine_slice/bar_top_cell_generic_r@2x.png,assets/webp/nine_slice/bar_top_cell_generic_r.webp,10,39,False,"[0, 0, 10, 39]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.t,nine_slice,bar_top_cell_generic_t,nine-slice-piece,9-slice díl t pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_t.png,assets/2x/nine_slice/bar_top_cell_generic_t@2x.png,assets/webp/nine_slice/bar_top_cell_generic_t.webp,117,9,False,"[0, 0, 117, 9]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.tl,nine_slice,bar_top_cell_generic_tl,nine-slice-piece,9-slice díl tl pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_tl.png,assets/2x/nine_slice/bar_top_cell_generic_tl@2x.png,assets/webp/nine_slice/bar_top_cell_generic_tl.webp,10,9,False,"[0, 0, 10, 9]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.generic.slice.tr,nine_slice,bar_top_cell_generic_tr,nine-slice-piece,9-slice díl tr pro bar.top.cell.generic.,assets/native/nine_slice/bar_top_cell_generic_tr.png,assets/2x/nine_slice/bar_top_cell_generic_tr@2x.png,assets/webp/nine_slice/bar_top_cell_generic_tr.webp,10,9,False,"[0, 0, 10, 9]",,,bar.top.cell.generic,,,False,,,production,
bar.top.cell.logo,bars/top/cells,top_cell_logo,top-cell,Fixní KØrp_OS logo buňka.,assets/native/bars/top/cells/top_cell_logo.png,assets/2x/bars/top/cells/top_cell_logo@2x.png,assets/webp/bars/top/cells/top_cell_logo.webp,220,68,False,"[0, 0, 220, 68]",bars,"[17, 97, 237, 165]",,,,True,,,production,
bar.top.cell.logo.reference,bars/top/reference,top_cell_logo_reference,top-cell-reference,Referenční horní buňka logo.,assets/native/bars/top/reference/top_cell_logo_reference.png,assets/2x/bars/top/reference/top_cell_logo_reference@2x.png,assets/webp/bars/top/reference/top_cell_logo_reference.webp,220,68,False,"[0, 0, 220, 68]",bars,"[17, 97, 237, 165]",,,,True,,,reference,
bar.top.cell.metabolism.blank,bars/top/cells,top_cell_metabolism_blank,top-cell,Čistá horní buňka metabolism bez textu.,assets/native/bars/top/cells/top_cell_metabolism_blank.png,assets/2x/bars/top/cells/top_cell_metabolism_blank@2x.png,assets/webp/bars/top/cells/top_cell_metabolism_blank.webp,149,66,False,"[0, 0, 149, 66]",,,bar.top.cell.generic,,,False,"[10, 8, 129, 50]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.metabolism.reference,bars/top/reference,top_cell_metabolism_reference,top-cell-reference,Referenční horní buňka metabolism.,assets/native/bars/top/reference/top_cell_metabolism_reference.png,assets/2x/bars/top/reference/top_cell_metabolism_reference@2x.png,assets/webp/bars/top/reference/top_cell_metabolism_reference.webp,149,66,False,"[0, 0, 149, 66]",bars,"[1019, 99, 1168, 165]",,,,True,,,reference,
bar.top.cell.ram.blank,bars/top/cells,top_cell_ram_blank,top-cell,Čistá horní buňka ram bez textu.,assets/native/bars/top/cells/top_cell_ram_blank.png,assets/2x/bars/top/cells/top_cell_ram_blank@2x.png,assets/webp/bars/top/cells/top_cell_ram_blank.webp,133,68,False,"[0, 0, 133, 68]",,,bar.top.cell.generic,,,False,"[10, 8, 113, 52]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.ram.reference,bars/top/reference,top_cell_ram_reference,top-cell-reference,Referenční horní buňka ram.,assets/native/bars/top/reference/top_cell_ram_reference.png,assets/2x/bars/top/reference/top_cell_ram_reference@2x.png,assets/webp/bars/top/reference/top_cell_ram_reference.webp,133,68,False,"[0, 0, 133, 68]",bars,"[730, 97, 863, 165]",,,,True,,,reference,
bar.top.cell.time_date.blank,bars/top/cells,top_cell_time_date_blank,top-cell,Čistá horní buňka time_date bez textu.,assets/native/bars/top/cells/top_cell_time_date_blank.png,assets/2x/bars/top/cells/top_cell_time_date_blank@2x.png,assets/webp/bars/top/cells/top_cell_time_date_blank.webp,158,67,False,"[0, 0, 158, 67]",,,bar.top.cell.generic,,,False,"[10, 8, 138, 51]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.time_date.reference,bars/top/reference,top_cell_time_date_reference,top-cell-reference,Referenční horní buňka time_date.,assets/native/bars/top/reference/top_cell_time_date_reference.png,assets/2x/bars/top/reference/top_cell_time_date_reference@2x.png,assets/webp/bars/top/reference/top_cell_time_date_reference.webp,158,67,False,"[0, 0, 158, 67]",bars,"[1490, 99, 1648, 166]",,,,True,,,reference,
bar.top.cell.utility_group.blank,bars/top/cells,top_cell_utility_group_blank,top-cell,Čistá horní buňka utility_group bez textu.,assets/native/bars/top/cells/top_cell_utility_group_blank.png,assets/2x/bars/top/cells/top_cell_utility_group_blank@2x.png,assets/webp/bars/top/cells/top_cell_utility_group_blank.webp,188,67,False,"[0, 0, 188, 67]",,,bar.top.cell.generic,,,False,"[10, 8, 168, 51]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.utility_group.reference,bars/top/reference,top_cell_utility_group_reference,top-cell-reference,Referenční horní buňka utility_group.,assets/native/bars/top/reference/top_cell_utility_group_reference.png,assets/2x/bars/top/reference/top_cell_utility_group_reference@2x.png,assets/webp/bars/top/reference/top_cell_utility_group_reference.webp,188,67,False,"[0, 0, 188, 67]",bars,"[1302, 99, 1490, 166]",,,,True,,,reference,
bar.top.cell.work_blob.blank,bars/top/cells,top_cell_work_blob_blank,top-cell,Čistá horní buňka work_blob bez textu.,assets/native/bars/top/cells/top_cell_work_blob_blank.png,assets/2x/bars/top/cells/top_cell_work_blob_blank@2x.png,assets/webp/bars/top/cells/top_cell_work_blob_blank.webp,131,67,False,"[0, 0, 131, 67]",,,bar.top.cell.generic,,,False,"[10, 8, 111, 51]","{""left"": 10, ""top"": 9, ""right"": 10, ""bottom"": 9}",production,
bar.top.cell.work_blob.reference,bars/top/reference,top_cell_work_blob_reference,top-cell-reference,Referenční horní buňka work_blob.,assets/native/bars/top/reference/top_cell_work_blob_reference.png,assets/2x/bars/top/reference/top_cell_work_blob_reference@2x.png,assets/webp/bars/top/reference/top_cell_work_blob_reference.webp,131,67,False,"[0, 0, 131, 67]",bars,"[441, 98, 572, 165]",,,,True,,,reference,
bar.top.full.blank,bars/top,top_rail_blank,top-rail,Čistá plná horní lišta bez obsahu.,assets/native/bars/top/top_rail_blank.png,assets/2x/bars/top/top_rail_blank@2x.png,assets/webp/bars/top/top_rail_blank.webp,1355,69,False,"[0, 0, 1355, 69]",bars,"[1050, 222, 1635, 258]",,,,False,"[18, 8, 1319, 53]","{""left"": 18, ""top"": 8, ""right"": 18, ""bottom"": 8}",production,
bar.top.full.blank.slice.b,nine_slice,bar_top_full_blank_b,nine-slice-piece,9-slice díl b pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_b.png,assets/2x/nine_slice/bar_top_full_blank_b@2x.png,assets/webp/nine_slice/bar_top_full_blank_b.webp,1319,8,False,"[0, 0, 1319, 8]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.bl,nine_slice,bar_top_full_blank_bl,nine-slice-piece,9-slice díl bl pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_bl.png,assets/2x/nine_slice/bar_top_full_blank_bl@2x.png,assets/webp/nine_slice/bar_top_full_blank_bl.webp,18,8,False,"[0, 0, 18, 8]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.br,nine_slice,bar_top_full_blank_br,nine-slice-piece,9-slice díl br pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_br.png,assets/2x/nine_slice/bar_top_full_blank_br@2x.png,assets/webp/nine_slice/bar_top_full_blank_br.webp,18,8,False,"[0, 0, 18, 8]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.c,nine_slice,bar_top_full_blank_c,nine-slice-piece,9-slice díl c pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_c.png,assets/2x/nine_slice/bar_top_full_blank_c@2x.png,assets/webp/nine_slice/bar_top_full_blank_c.webp,1319,53,False,"[0, 0, 1319, 53]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.l,nine_slice,bar_top_full_blank_l,nine-slice-piece,9-slice díl l pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_l.png,assets/2x/nine_slice/bar_top_full_blank_l@2x.png,assets/webp/nine_slice/bar_top_full_blank_l.webp,18,53,False,"[0, 0, 18, 53]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.r,nine_slice,bar_top_full_blank_r,nine-slice-piece,9-slice díl r pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_r.png,assets/2x/nine_slice/bar_top_full_blank_r@2x.png,assets/webp/nine_slice/bar_top_full_blank_r.webp,18,53,False,"[0, 0, 18, 53]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.t,nine_slice,bar_top_full_blank_t,nine-slice-piece,9-slice díl t pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_t.png,assets/2x/nine_slice/bar_top_full_blank_t@2x.png,assets/webp/nine_slice/bar_top_full_blank_t.webp,1319,8,False,"[0, 0, 1319, 8]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.tl,nine_slice,bar_top_full_blank_tl,nine-slice-piece,9-slice díl tl pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_tl.png,assets/2x/nine_slice/bar_top_full_blank_tl@2x.png,assets/webp/nine_slice/bar_top_full_blank_tl.webp,18,8,False,"[0, 0, 18, 8]",,,bar.top.full.blank,,,False,,,production,
bar.top.full.blank.slice.tr,nine_slice,bar_top_full_blank_tr,nine-slice-piece,9-slice díl tr pro bar.top.full.blank.,assets/native/nine_slice/bar_top_full_blank_tr.png,assets/2x/nine_slice/bar_top_full_blank_tr@2x.png,assets/webp/nine_slice/bar_top_full_blank_tr.webp,18,8,False,"[0, 0, 18, 8]",,,bar.top.full.blank,,,False,,,production,
bar.top.structure.cap_left,bars/top/structure,top_rail_cap_left,top-rail-structure,Konstrukční díl horní lišty: cap_left.,assets/native/bars/top/structure/top_rail_cap_left.png,assets/2x/bars/top/structure/top_rail_cap_left@2x.png,assets/webp/bars/top/structure/top_rail_cap_left.webp,84,54,False,"[0, 0, 84, 54]",bars,"[26, 237, 110, 291]",,,,False,,,production,
bar.top.structure.cap_right,bars/top/structure,top_rail_cap_right,top-rail-structure,Konstrukční díl horní lišty: cap_right.,assets/native/bars/top/structure/top_rail_cap_right.png,assets/2x/bars/top/structure/top_rail_cap_right@2x.png,assets/webp/bars/top/structure/top_rail_cap_right.webp,83,54,False,"[0, 0, 83, 54]",bars,"[853, 237, 936, 291]",,,,False,,,production,
bar.top.structure.rule,bars/top/structure,top_rail_rule,top-rail-structure,Konstrukční díl horní lišty: rule.,assets/native/bars/top/structure/top_rail_rule.png,assets/2x/bars/top/structure/top_rail_rule@2x.png,assets/webp/bars/top/structure/top_rail_rule.webp,605,21,False,"[0, 0, 605, 21]",bars,"[996, 274, 1601, 295]",,,,False,,,production,
bar.top.structure.tile_l,bars/top/structure,top_rail_tile_l,top-rail-structure,Konstrukční díl horní lišty: tile_l.,assets/native/bars/top/structure/top_rail_tile_l.png,assets/2x/bars/top/structure/top_rail_tile_l@2x.png,assets/webp/bars/top/structure/top_rail_tile_l.webp,128,49,False,"[0, 0, 128, 49]",bars,"[494, 242, 622, 291]",,,,False,,,production,
bar.top.structure.tile_m,bars/top/structure,top_rail_tile_m,top-rail-structure,Konstrukční díl horní lišty: tile_m.,assets/native/bars/top/structure/top_rail_tile_m.png,assets/2x/bars/top/structure/top_rail_tile_m@2x.png,assets/webp/bars/top/structure/top_rail_tile_m.webp,137,57,False,"[0, 0, 137, 57]",bars,"[334, 236, 471, 293]",,,,False,,,production,
bar.top.structure.tile_s,bars/top/structure,top_rail_tile_s,top-rail-structure,Konstrukční díl horní lišty: tile_s.,assets/native/bars/top/structure/top_rail_tile_s.png,assets/2x/bars/top/structure/top_rail_tile_s@2x.png,assets/webp/bars/top/structure/top_rail_tile_s.webp,145,55,False,"[0, 0, 145, 55]",bars,"[172, 236, 317, 291]",,,,False,,,production,
bar.top.structure.tile_xl,bars/top/structure,top_rail_tile_xl,top-rail-structure,Konstrukční díl horní lišty: tile_xl.,assets/native/bars/top/structure/top_rail_tile_xl.png,assets/2x/bars/top/structure/top_rail_tile_xl@2x.png,assets/webp/bars/top/structure/top_rail_tile_xl.webp,140,53,False,"[0, 0, 140, 53]",bars,"[642, 240, 782, 293]",,,,False,,,production,
bar.top.utility.evidence.reference,bars/top/utility,top_utility_evidence,top-utility-cell,Utility buňka evidence.,assets/native/bars/top/utility/top_utility_evidence.png,assets/2x/bars/top/utility/top_utility_evidence@2x.png,assets/webp/bars/top/utility/top_utility_evidence.webp,42,54,False,"[0, 0, 42, 54]",bars,"[1309, 105, 1351, 159]",,,,False,,,production,
bar.top.utility.network.reference,bars/top/utility,top_utility_network,top-utility-cell,Utility buňka network.,assets/native/bars/top/utility/top_utility_network.png,assets/2x/bars/top/utility/top_utility_network@2x.png,assets/webp/bars/top/utility/top_utility_network.webp,43,54,False,"[0, 0, 43, 54]",bars,"[1397, 105, 1440, 159]",,,,False,,,production,
bar.top.utility.pending.reference,bars/top/utility,top_utility_pending,top-utility-cell,Utility buňka pending.,assets/native/bars/top/utility/top_utility_pending.png,assets/2x/bars/top/utility/top_utility_pending@2x.png,assets/webp/bars/top/utility/top_utility_pending.webp,42,54,False,"[0, 0, 42, 54]",bars,"[1353, 105, 1395, 159]",,,,False,,,production,
bar.top.utility.power.reference,bars/top/utility,top_utility_power,top-utility-cell,Utility buňka power.,assets/native/bars/top/utility/top_utility_power.png,assets/2x/bars/top/utility/top_utility_power@2x.png,assets/webp/bars/top/utility/top_utility_power.webp,43,54,False,"[0, 0, 43, 54]",bars,"[1442, 105, 1485, 159]",,,,False,,,production,
button.audit.disabled,controls/buttons,button_audit_disabled,button,"Čisté tlačítko audit, stav disabled.",assets/native/controls/buttons/button_audit_disabled.png,assets/2x/controls/buttons/button_audit_disabled@2x.png,assets/webp/controls/buttons/button_audit_disabled.webp,73,26,False,"[0, 0, 73, 26]",,,button.audit.reference,disabled,audit,False,"[7, 4, 59, 18]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
button.audit.hover,controls/buttons,button_audit_hover,button,"Čisté tlačítko audit, stav hover.",assets/native/controls/buttons/button_audit_hover.png,assets/2x/controls/buttons/button_audit_hover@2x.png,assets/webp/controls/buttons/button_audit_hover.webp,73,26,False,"[0, 0, 73, 26]",,,button.audit.reference,hover,audit,False,"[7, 4, 59, 18]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
button.audit.normal,controls/buttons,button_audit_normal,button,"Čisté tlačítko audit, stav normal.",assets/native/controls/buttons/button_audit_normal.png,assets/2x/controls/buttons/button_audit_normal@2x.png,assets/webp/controls/buttons/button_audit_normal.webp,73,26,False,"[0, 0, 73, 26]",,,button.audit.reference,normal,audit,False,"[7, 4, 59, 18]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
button.audit.pressed,controls/buttons,button_audit_pressed,button,"Čisté tlačítko audit, stav pressed.",assets/native/controls/buttons/button_audit_pressed.png,assets/2x/controls/buttons/button_audit_pressed@2x.png,assets/webp/controls/buttons/button_audit_pressed.webp,73,26,False,"[0, 0, 73, 26]",,,button.audit.reference,pressed,audit,False,"[7, 4, 59, 18]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
button.audit.reference,controls/buttons/reference,button_audit_reference,button-reference,Referenční tlačítko audit.,assets/native/controls/buttons/reference/button_audit_reference.png,assets/2x/controls/buttons/reference/button_audit_reference@2x.png,assets/webp/controls/buttons/reference/button_audit_reference.webp,73,26,False,"[0, 0, 73, 26]",controls,"[18, 269, 91, 295]",,,,True,,,reference,
button.authorize.disabled,controls/buttons,button_authorize_disabled,button,"Čisté tlačítko authorize, stav disabled.",assets/native/controls/buttons/button_authorize_disabled.png,assets/2x/controls/buttons/button_authorize_disabled@2x.png,assets/webp/controls/buttons/button_authorize_disabled.webp,128,27,False,"[0, 0, 128, 27]",,,button.authorize.reference,disabled,authorize,False,"[7, 4, 114, 19]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
button.authorize.hover,controls/buttons,button_authorize_hover,button,"Čisté tlačítko authorize, stav hover.",assets/native/controls/buttons/button_authorize_hover.png,assets/2x/controls/buttons/button_authorize_hover@2x.png,assets/webp/controls/buttons/button_authorize_hover.webp,128,27,False,"[0, 0, 128, 27]",,,button.authorize.reference,hover,authorize,False,"[7, 4, 114, 19]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
button.authorize.normal,controls/buttons,button_authorize_normal,button,"Čisté tlačítko authorize, stav normal.",assets/native/controls/buttons/button_authorize_normal.png,assets/2x/controls/buttons/button_authorize_normal@2x.png,assets/webp/controls/buttons/button_authorize_normal.webp,128,27,False,"[0, 0, 128, 27]",,,button.authorize.reference,normal,authorize,False,"[7, 4, 114, 19]","{""left"": 6, ""top"": 5, ""right"": 6, ""bottom"": 5}",production,
